时间,错误信息
2017_10_28_15_22_40_662,15:22:40:第82个螺丝空转
2017_10_28_15_23_25_496,15:23:25:第86个螺丝空转
2017_10_28_15_24_10_695,15:24:10:第89个螺丝空转
2017_10_28_15_32_9_252,15:32:09:第96个螺丝空转
2017_10_28_15_32_16_330,15:32:16:第97个螺丝空转
2017_10_28_15_43_52_500,15:43:52:第125个螺丝空转
2017_10_28_16_9_51_606,16:09:51:第229个螺丝空转
2017_10_28_16_11_30_671,16:11:30:第243个螺丝空转
2017_10_28_16_19_22_330,16:19:22:第296个螺丝空转
2017_10_28_16_32_48_328,16:32:48:第369个螺丝空转
2017_10_28_16_55_46_53,16:55:46:第401个螺丝空转
2017_10_28_17_12_55_162,17:12:55:第528个螺丝空转
2017_10_28_17_27_37_106,17:27:37:第610个螺丝空转
2017_10_28_17_31_32_991,17:31:32:第647个螺丝空转
2017_10_28_17_31_39_272,17:31:39:第648个螺丝空转
2017_10_28_17_31_46_76,17:31:46:第649个螺丝空转
2017_10_28_17_31_59_785,17:31:59:第651个螺丝空转
2017_10_28_17_32_12_425,17:32:12:第653个螺丝空转
2017_10_28_17_46_16_329,17:46:16:第692个螺丝空转
2017_11_16_13_56_36_133,13:56:34:第703个螺丝浮起
2017_11_16_13_56_54_329,13:56:54:第704个螺丝浮起
2017_11_16_14_4_51_718,14:04:51:第705个螺丝浮起
2017_11_16_14_5_1_559,14:05:01:第706个螺丝浮起
2017_11_16_14_5_10_645,14:05:10:第707个螺丝浮起
2017_11_16_20_10_26_391,20:10:26:第3个螺丝浮起
2017_11_16_20_10_33_50,20:10:33:第4个螺丝浮起
2017_11_16_20_10_34_81,20:10:34:第5个螺丝浮起
2017_11_16_20_10_34_767,20:10:34:第6个螺丝浮起
2017_11_16_20_10_35_446,20:10:35:第7个螺丝浮起
2017_11_16_20_10_36_218,20:10:36:第8个螺丝浮起
2017_11_16_20_10_36_906,20:10:36:第9个螺丝浮起
2017_11_16_20_10_37_296,20:10:37:第10个螺丝浮起
2017_11_16_20_10_38_353,20:10:38:第11个螺丝浮起
2017_11_16_20_10_39_387,20:10:39:第12个螺丝浮起
2017_11_16_20_10_40_410,20:10:40:第13个螺丝浮起
2017_11_16_20_10_42_121,20:10:42:第14个螺丝浮起
2017_11_16_20_11_28_603,20:11:28:第15个螺丝空转
