时间,花费时间,实际圈数,实际扭力,螺丝结果
2017_10_28_15_10_22_478,0.361s,0.6圈,59.5mN*m,第1个OK
2017_10_28_15_10_28_666,0.406s,0.9圈,59.5mN*m,第2个OK
2017_10_28_15_10_34_394,0.29s,0.1圈,59.5mN*m,第3个OK
2017_10_28_15_10_40_854,0.372s,0.8圈,59.5mN*m,第4个OK
2017_10_28_15_10_47_76,0.346s,0.4圈,59.5mN*m,第5个OK
2017_10_28_15_10_54_924,0.284s,0圈,59.5mN*m,第6个OK
2017_10_28_15_11_3_331,0.284s,0圈,59.7mN*m,第7个OK
2017_10_28_15_11_9_473,0.317s,0.4圈,59.5mN*m,第8个OK
2017_10_28_15_11_17_558,0.304s,0圈,59.5mN*m,第9个OK
2017_10_28_15_11_23_866,0.338s,0.5圈,59.7mN*m,第10个OK
2017_10_28_15_11_29_994,0.334s,0.5圈,59.5mN*m,第11个OK
2017_10_28_15_11_35_881,0.279s,0.2圈,59.5mN*m,第12个OK
2017_10_28_15_11_41_764,0.373s,0.7圈,59.5mN*m,第13个OK
2017_10_28_15_11_47_997,0.432s,1.1圈,59.5mN*m,第14个OK
2017_10_28_15_11_53_882,0.371s,0.6圈,59.5mN*m,第15个OK
2017_10_28_15_12_0_183,0.355s,0.5圈,59.5mN*m,第16个OK
2017_10_28_15_12_6_65,0.292s,0圈,59.5mN*m,第17个OK
2017_10_28_15_12_12_454,0.35s,0.7圈,59.5mN*m,第18个OK
2017_10_28_15_12_18_670,0.361s,0.7圈,59.5mN*m,第19个OK
2017_10_28_15_12_24_817,0.307s,0.3圈,59.5mN*m,第20个OK
2017_10_28_15_12_30_787,0.305s,0.3圈,59.5mN*m,第21个OK
2017_10_28_15_12_37_9,0.373s,0.8圈,59.5mN*m,第22个OK
2017_10_28_15_12_43_321,0.366s,0.7圈,59.5mN*m,第23个OK
2017_10_28_15_12_49_534,0.298s,0.2圈,59.5mN*m,第24个OK
2017_10_28_15_12_55_589,0.34s,0.4圈,59.7mN*m,第25个OK
2017_10_28_15_13_1_467,0.325s,0.4圈,59.5mN*m,第26个OK
2017_10_28_15_13_7_853,0.375s,0.8圈,59.5mN*m,第27个OK
2017_10_28_15_13_13_906,0.313s,0.4圈,59.7mN*m,第28个OK
2017_10_28_15_13_20_125,0.376s,0.7圈,59.5mN*m,第29个OK
2017_10_28_15_13_26_196,0.347s,0.3圈,59.5mN*m,第30个OK
2017_10_28_15_13_32_186,0.317s,0.3圈,59.5mN*m,第31个OK
2017_10_28_15_13_38_235,0.288s,0.1圈,59.5mN*m,第32个OK
2017_10_28_15_13_44_280,0.376s,0.8圈,59.5mN*m,第33个OK
2017_10_28_15_13_50_410,0.348s,0.7圈,59.5mN*m,第34个OK
2017_10_28_15_13_56_657,0.277s,0.1圈,59.5mN*m,第35个OK
2017_10_28_15_14_2_402,0.261s,0.1圈,59.5mN*m,第36个OK
2017_10_28_15_14_9_242,0.242s,0圈,59.5mN*m,第37个OK
2017_10_28_15_14_15_282,0.271s,0圈,59.5mN*m,第38个OK
2017_10_28_15_14_20_904,0.281s,0圈,59.5mN*m,第39个OK
2017_10_28_15_14_27_623,0.327s,0.5圈,59.5mN*m,第40个OK
2017_10_28_15_14_33_170,0.292s,0圈,59.5mN*m,第41个OK
2017_10_28_15_14_39_408,0.362s,0.7圈,59.5mN*m,第42个OK
2017_10_28_15_14_47_112,0.316s,0.4圈,59.5mN*m,第43个OK
2017_10_28_15_14_54_318,0.325s,0.5圈,59.5mN*m,第44个OK
2017_10_28_15_15_0_374,0.39s,0.7圈,59.5mN*m,第45个OK
2017_10_28_15_15_6_440,0.343s,0.5圈,59.5mN*m,第46个OK
2017_10_28_15_15_12_731,0.354s,0.6圈,59.5mN*m,第47个OK
2017_10_28_15_15_18_778,0.375s,0.7圈,59.7mN*m,第48个OK
2017_10_28_15_15_25_0,0.325s,0.5圈,59.5mN*m,第49个OK
2017_10_28_15_15_31_645,0.342s,0.6圈,59.5mN*m,第50个OK
2017_10_28_15_15_37_781,0.329s,0.5圈,59.5mN*m,第51个OK
2017_10_28_15_15_43_613,0.289s,0.1圈,59.5mN*m,第52个OK
2017_10_28_15_15_49_997,0.343s,0.5圈,59.5mN*m,第53个OK
2017_10_28_15_15_55_764,0.295s,0.3圈,59.5mN*m,第54个OK
2017_10_28_15_16_1_906,0.381s,0.8圈,59.5mN*m,第55个OK
2017_10_28_15_16_7_867,0.3s,0.3圈,59.5mN*m,第56个OK
2017_10_28_15_16_13_923,0.352s,0.5圈,59.5mN*m,第57个OK
2017_10_28_15_16_20_230,0.345s,0.6圈,59.5mN*m,第58个OK
2017_10_28_15_16_26_191,0.301s,0圈,59.7mN*m,第59个OK
2017_10_28_15_16_32_494,0.36s,0.7圈,59.5mN*m,第60个OK
2017_10_28_15_16_38_794,0.297s,0.2圈,59.5mN*m,第61个OK
2017_10_28_15_16_44_681,0.334s,0.4圈,59.7mN*m,第62个OK
2017_10_28_15_16_50_605,0.32s,0.5圈,59.5mN*m,第63个OK
2017_10_28_15_16_56_876,0.366s,0.8圈,59.5mN*m,第64个OK
2017_10_28_15_17_3_28,0.244s,0圈,59.7mN*m,第65个OK
2017_10_28_15_17_9_549,0.335s,0.6圈,59.5mN*m,第66个OK
2017_10_28_15_17_15_620,0.285s,0圈,59.5mN*m,第67个OK
2017_10_28_15_17_22_171,0.395s,0.9圈,59.5mN*m,第68个OK
2017_10_28_15_17_35_370,0.4s,0.8圈,59.5mN*m,第69个OK
2017_10_28_15_20_53_883,0.247s,0圈,59.7mN*m,第70个OK
2017_10_28_15_20_59_572,0.329s,0.4圈,59.5mN*m,第71个OK
2017_10_28_15_21_18_68,0.344s,0.6圈,59.5mN*m,第72个OK
2017_10_28_15_21_30_3,0.295s,0.3圈,59.5mN*m,第73个OK
2017_10_28_15_21_37_49,0.25s,0圈,59.5mN*m,第74个OK
2017_10_28_15_21_49_458,0.302s,0.3圈,59.7mN*m,第75个OK
2017_10_28_15_21_58_850,0.318s,0.5圈,59.5mN*m,第76个OK
2017_10_28_15_22_6_747,0.303s,0圈,59.7mN*m,第77个OK
2017_10_28_15_22_14_917,0.382s,0.7圈,59.5mN*m,第78个OK
2017_10_28_15_22_20_457,0.322s,0.4圈,59.5mN*m,第79个OK
2017_10_28_15_22_26_808,0.344s,0.5圈,59.5mN*m,第80个OK
2017_10_28_15_22_33_68,0.311s,0.3圈,59.5mN*m,第81个OK
2017_10_28_15_22_40_651,1.153s,7.5圈,19.6mN*m,第82个NG
2017_10_28_15_22_46_111,0.281s,0.1圈,59.5mN*m,第83个OK
2017_10_28_15_23_6_687,0.338s,0.4圈,59.5mN*m,第84个OK
2017_10_28_15_23_16_403,0.299s,0圈,59.5mN*m,第85个OK
2017_10_28_15_23_25_493,1.152s,7.5圈,6.5mN*m,第86个NG
2017_10_28_15_23_31_479,0.285s,0圈,59.5mN*m,第87个OK
2017_10_28_15_23_38_946,0.293s,0圈,59.7mN*m,第88个OK
2017_10_28_15_24_10_692,23.709s,7.4圈,30.8mN*m,第89个NG
2017_10_28_15_24_18_9,0.339s,0.6圈,59.5mN*m,第90个OK
2017_10_28_15_24_25_581,0.337s,0.6圈,59.5mN*m,第91个OK
2017_10_28_15_31_40_489,0.303s,0.2圈,59.5mN*m,第92个OK
2017_10_28_15_31_48_750,0.327s,0圈,59.5mN*m,第93个OK
2017_10_28_15_31_55_52,0.325s,0.3圈,59.5mN*m,第94个OK
2017_10_28_15_32_1_518,0.281s,0圈,59.5mN*m,第95个OK
2017_10_28_15_32_9_245,1.153s,7.5圈,24.5mN*m,第96个NG
2017_10_28_15_32_16_325,1.153s,7.5圈,23mN*m,第97个NG
2017_10_28_15_32_22_100,0.292s,0圈,59.5mN*m,第98个OK
2017_10_28_15_32_28_413,0.372s,0.6圈,59.5mN*m,第99个OK
2017_10_28_15_32_34_776,0.36s,0.7圈,59.5mN*m,第100个OK
2017_10_28_15_40_36_677,0.331s,0.5圈,59.5mN*m,第101个OK
2017_10_28_15_40_44_712,0.326s,0圈,59.7mN*m,第102个OK
2017_10_28_15_40_50_865,0.307s,0.2圈,59.5mN*m,第103个OK
2017_10_28_15_40_57_250,0.315s,0.4圈,59.5mN*m,第104个OK
2017_10_28_15_41_3_55,0.309s,0.3圈,59.5mN*m,第105个OK
2017_10_28_15_41_9_286,0.317s,0圈,59.5mN*m,第106个OK
2017_10_28_15_41_15_251,0.312s,0.3圈,59.5mN*m,第107个OK
