时间,节拍时间
2017_10_28_15_10_23_540,节拍时间：END:5.908
2017_10_28_15_10_29_465,节拍时间：END:5.876
2017_10_28_15_10_35_485,节拍时间：END:5.973
2017_10_28_15_10_41_868,节拍时间：END:6.332
2017_10_28_15_10_47_902,节拍时间：END:5.986
2017_10_28_15_10_56_178,节拍时间：END:8.208
2017_10_28_15_11_4_385,节拍时间：END:8.143
2017_10_28_15_11_10_559,节拍时间：END:6.123
2017_10_28_15_11_18_644,节拍时间：END:8.022
2017_10_28_15_11_24_792,节拍时间：END:6.098
2017_10_28_15_11_30_895,节拍时间：END:6.054
2017_10_28_15_11_36_761,节拍时间：END:5.819
2017_10_28_15_11_42_768,节拍时间：END:5.959
2017_10_28_15_11_48_865,节拍时间：END:6.048
2017_10_28_15_11_55_36,节拍时间：END:6.122
2017_10_28_15_12_1_223,节拍时间：END:6.137
2017_10_28_15_12_7_213,节拍时间：END:5.940
2017_10_28_15_12_13_373,节拍时间：END:6.112
2017_10_28_15_12_19_713,节拍时间：END:6.289
2017_10_28_15_12_25_823,节拍时间：END:6.061
2017_10_28_15_12_31_806,节拍时间：END:5.935
2017_10_28_15_12_38_88,节拍时间：END:6.229
2017_10_28_15_12_44_159,节拍时间：END:6.018
2017_10_28_15_12_50_411,节拍时间：END:6.207
2017_10_28_15_12_56_505,节拍时间：END:6.045
2017_10_28_15_13_2_527,节拍时间：END:5.972
2017_10_28_15_13_8_887,节拍时间：END:6.310
2017_10_28_15_13_15_9,节拍时间：END:6.070
2017_10_28_15_13_21_105,节拍时间：END:6.050
2017_10_28_15_13_27_187,节拍时间：END:6.032
2017_10_28_15_13_33_233,节拍时间：END:5.998
2017_10_28_15_13_39_268,节拍时间：END:5.988
2017_10_28_15_13_45_471,节拍时间：END:6.154
2017_10_28_15_13_51_540,节拍时间：END:6.020
2017_10_28_15_13_57_534,节拍时间：END:5.947
2017_10_28_15_14_3_558,节拍时间：END:5.973
2017_10_28_15_14_10_319,节拍时间：END:6.181
2017_10_28_15_14_16_73,节拍时间：END:6.011
2017_10_28_15_14_22_460,节拍时间：END:6.139
2017_10_28_15_14_28_556,节拍时间：END:6.054
2017_10_28_15_14_34_957,节拍时间：END:6.036
2017_10_28_15_14_42_377,节拍时间：END:7.256
2017_10_28_15_14_49_719,节拍时间：END:7.726
2017_10_28_15_14_55_337,节拍时间：END:5.957
2017_10_28_15_15_1_468,节拍时间：END:6.077
2017_10_28_15_15_7_576,节拍时间：END:6.061
2017_10_28_15_15_13_729,节拍时间：END:6.100
2017_10_28_15_15_19_880,节拍时间：END:6.105
2017_10_28_15_15_26_290,节拍时间：END:6.356
2017_10_28_15_15_32_611,节拍时间：END:6.270
2017_10_28_15_15_38_754,节拍时间：END:6.090
2017_10_28_15_15_44_810,节拍时间：END:6.008
2017_10_28_15_15_50_965,节拍时间：END:6.105
2017_10_28_15_15_56_862,节拍时间：END:5.849
2017_10_28_15_16_2_894,节拍时间：END:5.985
2017_10_28_15_16_8_938,节拍时间：END:5.993
2017_10_28_15_16_15_125,节拍时间：END:6.137
2017_10_28_15_16_21_176,节拍时间：END:6.003
2017_10_28_15_16_27_358,节拍时间：END:6.134
2017_10_28_15_16_33_602,节拍时间：END:6.194
2017_10_28_15_16_39_715,节拍时间：END:6.064
2017_10_28_15_16_45_707,节拍时间：END:5.945
2017_10_28_15_16_51_829,节拍时间：END:6.073
2017_10_28_15_16_58_22,节拍时间：END:6.141
2017_10_28_15_17_4_378,节拍时间：END:6.305
2017_10_28_15_17_10_460,节拍时间：END:6.036
2017_10_28_15_17_16_820,节拍时间：END:6.305
2017_10_28_15_17_23_219,节拍时间：END:6.349
2017_10_28_15_20_48_359,节拍时间：END:196.701
2017_10_28_15_20_55_155,节拍时间：END:6.367
2017_10_28_15_21_0_719,节拍时间：END:5.424
2017_10_28_15_21_24_902,节拍时间：END:11.888
2017_10_28_15_21_32_707,节拍时间：END:7.582
2017_10_28_15_21_44_33,节拍时间：END:12.154
2017_10_28_15_21_53_688,节拍时间：END:8.934
2017_10_28_15_22_1_272,节拍时间：END:7.738
2017_10_28_15_22_10_125,节拍时间：END:8.267
2017_10_28_15_22_15_910,节拍时间：END:6.087
2017_10_28_15_22_22_89,节拍时间：END:6.225
2017_10_28_15_22_28_390,节拍时间：END:6.221
2017_10_28_15_22_34_28,节拍时间：END:6.116
2017_10_28_15_22_41_156,节拍时间：END:7.078
2017_10_28_15_22_48_432,节拍时间：END:7.212
2017_10_28_15_23_11_438,节拍时间：END:9.618
2017_10_28_15_23_18_860,节拍时间：END:7.363
2017_10_28_15_23_26_161,节拍时间：END:7.243
2017_10_28_15_23_33_706,节拍时间：END:7.488
2017_10_28_15_23_41_429,节拍时间：END:7.659
2017_10_28_15_24_11_390,节拍时间：END:29.691
2017_10_28_15_24_20_394,节拍时间：END:8.954
2017_10_28_15_31_35_322,节拍时间：END:431.473
2017_10_28_15_31_41_688,节拍时间：END:6.314
2017_10_28_15_31_49_932,节拍时间：END:8.179
2017_10_28_15_31_56_241,节拍时间：END:6.261
2017_10_28_15_32_2_563,节拍时间：END:6.271
2017_10_28_15_32_9_790,节拍时间：END:7.169
2017_10_28_15_32_17_118,节拍时间：END:7.263
2017_10_28_15_32_23_268,节拍时间：END:6.105
2017_10_28_15_32_29_630,节拍时间：END:6.313
2017_10_28_15_40_37_752,节拍时间：END:6.078
2017_10_28_15_40_48_401,节拍时间：END:7.978
2017_10_28_15_40_51_989,节拍时间：END:6.038
2017_10_28_15_40_58_38,节拍时间：END:6.107
2017_10_28_15_41_4_83,节拍时间：END:5.994
2017_10_28_15_41_10_251,节拍时间：END:6.122
2017_10_28_15_41_16_331,节拍时间：END:6.031
2017_10_28_15_41_24_458,节拍时间：END:8.062
2017_10_28_15_41_30_452,节拍时间：END:5.942
2017_10_28_15_41_36_514,节拍时间：END:6.018
2017_10_28_15_41_42_558,节拍时间：END:5.995
2017_10_28_15_41_50_831,节拍时间：END:8.201
2017_10_28_15_41_57_237,节拍时间：END:6.358
2017_10_28_15_42_3_668,节拍时间：END:6.029
2017_10_28_15_42_9_367,节拍时间：END:6.002
